return_id,client_id,order_id,probability_fraud,anomaly_score,is_anomaly,combined_score,decision,features_used,timestamp
42,5924,4854,0.0,-0.6403,True,0.175,APPROVE,63,2026-04-14T11:24:37.883354
43,5923,4858,1.0,-0.5584,True,0.775,BLOCK,63,2026-04-14T11:24:38.097996
44,5922,4861,0.0,-0.6147,True,0.175,APPROVE,63,2026-04-14T11:24:38.317433
45,5922,4862,1.0,-0.5701,True,0.775,BLOCK,63,2026-04-14T11:24:38.539330
46,5921,4865,1.0,-0.6512,True,0.775,BLOCK,63,2026-04-14T11:24:38.751811
47,5919,4869,1.0,-0.6189,True,0.8425,BLOCK,63,2026-04-14T11:24:38.981941
48,5919,4870,1.0,-0.6214,True,0.8425,BLOCK,63,2026-04-14T11:24:39.199765
49,5913,4892,1.0,-0.6407,True,0.775,BLOCK,63,2026-04-14T11:24:39.414019
50,5909,4899,1.0,-0.6058,True,0.775,BLOCK,63,2026-04-14T11:24:39.627001
51,5908,4905,0.0,-0.6569,True,0.22,APPROVE,63,2026-04-14T11:24:39.837570
52,5908,4907,1.0,-0.6267,True,0.75,BLOCK,63,2026-04-14T11:24:40.054259
53,5907,4908,0.0,-0.6457,True,0.2725,APPROVE,63,2026-04-14T11:24:40.273719
54,5907,4910,1.0,-0.6098,True,0.8875,BLOCK,63,2026-04-14T11:24:40.500482
55,5905,4914,0.0,-0.5969,True,0.175,APPROVE,63,2026-04-14T11:24:40.717510
56,5905,4916,0.0,-0.6109,True,0.175,APPROVE,63,2026-04-14T11:24:40.941978
57,5905,4917,0.0,-0.613,True,0.175,APPROVE,63,2026-04-14T11:24:41.157084
58,5905,4918,0.0,-0.614,True,0.205,APPROVE,63,2026-04-14T11:24:41.382357
59,5903,4925,0.0,-0.6206,True,0.22,APPROVE,63,2026-04-14T11:24:41.601151
60,5902,4930,1.0,-0.6091,True,0.7875,BLOCK,63,2026-04-14T11:24:41.820556
61,5901,4931,0.0,-0.6603,True,0.22,APPROVE,63,2026-04-14T11:24:42.047596
62,5901,4932,1.0,-0.6475,True,0.795,BLOCK,63,2026-04-14T11:24:42.267435
63,5900,4935,1.0,-0.5585,True,0.75,BLOCK,63,2026-04-14T11:24:42.478845
64,5900,4937,0.0,-0.6439,True,0.175,APPROVE,63,2026-04-14T11:24:42.696641
65,5899,4940,1.0,-0.6138,True,0.775,BLOCK,63,2026-04-14T11:24:42.915175
66,5896,4948,1.0,-0.653,True,0.775,BLOCK,63,2026-04-14T11:24:43.135271
67,5896,4949,1.0,-0.6262,True,0.83,BLOCK,63,2026-04-14T11:24:43.352415
68,5892,4958,0.0,-0.6559,True,0.205,APPROVE,63,2026-04-14T11:24:43.567133
69,5892,4959,1.0,-0.6555,True,0.805,BLOCK,63,2026-04-14T11:24:43.780697
70,5891,4962,1.0,-0.649,True,0.775,BLOCK,63,2026-04-14T11:24:43.996956
71,5891,4963,1.0,-0.6496,True,0.775,BLOCK,63,2026-04-14T11:24:44.209438
72,5889,4966,1.0,-0.6443,True,0.8125,BLOCK,63,2026-04-14T11:24:44.425947
73,5888,4972,1.0,-0.6698,True,0.775,BLOCK,63,2026-04-14T11:24:44.661126
74,5884,4981,0.0,-0.6345,True,0.205,APPROVE,63,2026-04-14T11:24:44.888935
75,5884,4982,1.0,-0.626,True,0.82,BLOCK,63,2026-04-14T11:24:45.104338
76,5884,4983,1.0,-0.5899,True,0.775,BLOCK,63,2026-04-14T11:24:45.318115
77,5884,4984,1.0,-0.622,True,0.775,BLOCK,63,2026-04-14T11:24:45.529574
78,5883,4988,1.0,-0.6281,True,0.8125,BLOCK,63,2026-04-14T11:24:45.744306
79,5883,4989,1.0,-0.6451,True,0.8125,BLOCK,63,2026-04-14T11:24:45.959361
80,5882,4992,1.0,-0.5989,True,0.805,BLOCK,63,2026-04-14T11:24:46.178789
81,5877,5001,1.0,-0.6455,True,0.775,BLOCK,63,2026-04-14T11:24:46.404406
82,5874,5010,1.0,-0.6364,True,0.775,BLOCK,63,2026-04-14T11:24:46.628939
83,5874,5012,1.0,-0.6394,True,0.775,BLOCK,63,2026-04-14T11:24:46.863527
84,5873,5013,1.0,-0.6206,True,0.8575,BLOCK,63,2026-04-14T11:24:47.083000
85,5872,5014,1.0,-0.6073,True,0.78,BLOCK,63,2026-04-14T11:24:47.298748
86,5872,5017,1.0,-0.5788,True,0.78,BLOCK,63,2026-04-14T11:24:47.514221
87,5868,5025,1.0,-0.5942,True,0.78,BLOCK,63,2026-04-14T11:24:47.726773
88,5865,5031,1.0,-0.6267,True,0.775,BLOCK,63,2026-04-14T11:24:47.939371
89,5862,5045,1.0,-0.6321,True,0.775,BLOCK,63,2026-04-14T11:24:48.150234
90,5861,5047,1.0,-0.6539,True,0.775,BLOCK,63,2026-04-14T11:24:48.365742
91,5857,5058,1.0,-0.649,True,0.825,BLOCK,63,2026-04-14T11:24:48.578493
92,5855,5066,1.0,-0.6497,True,0.775,BLOCK,63,2026-04-14T11:24:48.854919
93,5853,5071,1.0,-0.6365,True,0.775,BLOCK,63,2026-04-14T11:24:49.077543
94,5853,5072,0.0,-0.6482,True,0.175,APPROVE,63,2026-04-14T11:24:49.295166
95,5853,5074,0.0,-0.6211,True,0.175,APPROVE,63,2026-04-14T11:24:49.616957
96,5852,5078,0.0,-0.619,True,0.225,APPROVE,63,2026-04-14T11:24:49.833482
97,5851,5080,0.0,-0.5947,True,0.175,APPROVE,63,2026-04-14T11:24:50.047938
98,5848,5092,1.0,-0.6087,True,0.75,BLOCK,63,2026-04-14T11:24:50.266344
99,5847,5094,0.0,-0.6011,True,0.15,APPROVE,63,2026-04-14T11:24:50.479289
100,5847,5095,1.0,-0.6089,True,0.775,BLOCK,63,2026-04-14T11:24:50.692239
101,5844,5104,1.0,-0.6404,True,0.775,BLOCK,63,2026-04-14T11:24:51.074176
102,5843,5110,1.0,-0.6373,True,0.82,BLOCK,63,2026-04-14T11:24:51.300986
103,5842,5112,1.0,-0.6153,True,0.75,BLOCK,63,2026-04-14T11:24:51.522969
104,5841,5113,1.0,-0.6697,True,0.775,BLOCK,63,2026-04-14T11:24:51.742563
105,5839,5123,1.0,-0.6048,True,0.795,BLOCK,63,2026-04-14T11:24:51.964916
106,5838,5126,1.0,-0.6098,True,0.78,BLOCK,63,2026-04-14T11:24:52.184925
107,5835,5136,0.0,-0.6518,True,0.175,APPROVE,63,2026-04-14T11:24:52.398480
108,5832,5144,1.0,-0.5525,True,0.75,BLOCK,63,2026-04-14T11:24:52.617222
109,5831,5146,0.0,-0.6001,True,0.175,APPROVE,63,2026-04-14T11:24:52.838044
110,5830,5148,1.0,-0.6036,True,0.805,BLOCK,63,2026-04-14T11:24:53.053227
111,5829,5152,1.0,-0.5821,True,0.75,BLOCK,63,2026-04-14T11:24:53.268219
112,5827,5158,0.0,-0.652,True,0.175,APPROVE,63,2026-04-14T11:24:53.481636
113,5826,5160,1.0,-0.6042,True,0.75,BLOCK,63,2026-04-14T11:24:53.704126
114,5824,5170,1.0,-0.6123,True,0.775,BLOCK,63,2026-04-14T11:24:53.918208
115,5819,5187,1.0,-0.6169,True,0.75,BLOCK,63,2026-04-14T11:24:54.135913
116,5819,5188,1.0,-0.6509,True,0.775,BLOCK,63,2026-04-14T11:24:54.351852
117,5818,5195,1.0,-0.6369,True,0.775,BLOCK,63,2026-04-14T11:24:54.567689
118,5816,5197,1.0,-0.5864,True,0.7875,BLOCK,63,2026-04-14T11:24:54.779976
119,5815,5200,1.0,-0.5774,True,0.75,BLOCK,63,2026-04-14T11:24:54.997262
120,5812,5210,1.0,-0.6605,True,0.775,BLOCK,63,2026-04-14T11:24:55.217437
121,5810,5213,1.0,-0.6232,True,0.825,BLOCK,63,2026-04-14T11:24:55.429630
122,5808,5219,1.0,-0.6406,True,0.8125,BLOCK,63,2026-04-14T11:24:55.644536
123,5806,5223,1.0,-0.6348,True,0.775,BLOCK,63,2026-04-14T11:24:55.859468
124,5800,5238,0.0,-0.62,True,0.2125,APPROVE,63,2026-04-14T11:24:56.077681
125,5800,5239,0.0,-0.5752,True,0.1875,APPROVE,63,2026-04-14T11:24:56.299952
126,5799,5242,1.0,-0.618,True,0.805,BLOCK,63,2026-04-14T11:24:56.513471
127,5798,5244,0.0,-0.6527,True,0.175,APPROVE,63,2026-04-14T11:24:56.722518
128,5796,5248,1.0,-0.6679,True,0.775,BLOCK,63,2026-04-14T11:24:56.939958
129,5795,5250,0.0,-0.6166,True,0.175,APPROVE,63,2026-04-14T11:24:57.156270
130,5795,5252,1.0,-0.627,True,0.775,BLOCK,63,2026-04-14T11:24:57.375671
131,5794,5253,0.0,-0.6305,True,0.2125,APPROVE,63,2026-04-14T11:24:57.593323
132,5794,5254,1.0,-0.6107,True,0.8125,BLOCK,63,2026-04-14T11:24:57.810339
133,5793,5257,1.0,-0.6267,True,0.775,BLOCK,63,2026-04-14T11:24:58.035358
134,5793,5260,0.0,-0.6162,True,0.175,APPROVE,63,2026-04-14T11:24:58.267492
135,5792,5262,1.0,-0.6255,True,0.775,BLOCK,63,2026-04-14T11:24:58.499016
136,5789,5268,1.0,-0.6725,True,0.775,BLOCK,63,2026-04-14T11:24:58.713442
137,5789,5269,1.0,-0.661,True,0.775,BLOCK,63,2026-04-14T11:24:58.935916
138,5788,5271,1.0,-0.6549,True,0.775,BLOCK,63,2026-04-14T11:24:59.168149
139,5786,5277,1.0,-0.6161,True,0.775,BLOCK,63,2026-04-14T11:24:59.402460
140,5785,5279,1.0,-0.6468,True,0.805,BLOCK,63,2026-04-14T11:24:59.611598
141,5784,5282,1.0,-0.6157,True,0.775,BLOCK,63,2026-04-14T11:24:59.824618
142,5781,5289,1.0,-0.6358,True,0.775,BLOCK,63,2026-04-14T11:25:00.052584
143,5781,5290,1.0,-0.6316,True,0.78,BLOCK,63,2026-04-14T11:25:00.318459
144,5780,5292,1.0,-0.6367,True,0.82,BLOCK,63,2026-04-14T11:25:00.587899
145,5779,5296,1.0,-0.6103,True,0.75,BLOCK,63,2026-04-14T11:25:00.813592
146,5777,5304,1.0,-0.6428,True,0.775,BLOCK,63,2026-04-14T11:25:01.024903
147,5777,5305,1.0,-0.6145,True,0.75,BLOCK,63,2026-04-14T11:25:01.241677
148,5775,5309,0.0,-0.6129,True,0.175,APPROVE,63,2026-04-14T11:25:01.465445
149,5773,5317,0.0,-0.6219,True,0.175,APPROVE,63,2026-04-14T11:25:01.684255
150,5772,5320,1.0,-0.632,True,0.8325,BLOCK,63,2026-04-14T11:25:01.914209
151,5770,5324,0.0,-0.6285,True,0.175,APPROVE,63,2026-04-14T11:25:02.131969
152,5769,5327,0.0,-0.6046,True,0.175,APPROVE,63,2026-04-14T11:25:02.359210
153,5769,5330,1.0,-0.5793,True,0.75,BLOCK,63,2026-04-14T11:25:02.584627
154,5768,5332,1.0,-0.6237,True,0.775,BLOCK,63,2026-04-14T11:25:02.799751
155,5766,5335,1.0,-0.6131,True,0.775,BLOCK,63,2026-04-14T11:25:03.024041
156,5765,5337,1.0,-0.6042,True,0.75,BLOCK,63,2026-04-14T11:25:03.243407
157,5757,5362,1.0,-0.6202,True,0.75,BLOCK,63,2026-04-14T11:25:03.458937
158,5755,5368,1.0,-0.6408,True,0.775,BLOCK,63,2026-04-14T11:25:03.676895
159,5748,5393,0.0,-0.5904,True,0.1875,APPROVE,63,2026-04-14T11:25:03.921028
160,5748,5394,0.0,-0.6173,True,0.2125,APPROVE,63,2026-04-14T11:25:04.136313
161,5747,5395,1.0,-0.6276,True,0.775,BLOCK,63,2026-04-14T11:25:04.354488
162,5746,5398,0.0,-0.6012,True,0.175,APPROVE,63,2026-04-14T11:25:04.572033
163,5745,5401,0.0,-0.6213,True,0.15,APPROVE,63,2026-04-14T11:25:04.785537
164,5743,5407,1.0,-0.6287,True,0.75,BLOCK,63,2026-04-14T11:25:04.998893
165,5743,5410,1.0,-0.6485,True,0.775,BLOCK,63,2026-04-14T11:25:05.226757
166,5741,5415,1.0,-0.6198,True,0.775,BLOCK,63,2026-04-14T11:25:05.475186
167,5741,5417,1.0,-0.6185,True,0.775,BLOCK,63,2026-04-14T11:25:05.723517
168,5739,5424,1.0,-0.6369,True,0.775,BLOCK,63,2026-04-14T11:25:05.951051
169,5738,5426,0.0,-0.6348,True,0.15,APPROVE,63,2026-04-14T11:25:06.172639
170,5736,5430,1.0,-0.6025,True,0.775,BLOCK,63,2026-04-14T11:25:06.435654
171,5735,5438,1.0,-0.5956,True,0.7875,BLOCK,63,2026-04-14T11:25:06.692336
172,5733,5446,1.0,-0.6334,True,0.775,BLOCK,63,2026-04-14T11:25:06.925011
173,5731,5450,0.0,-0.6191,True,0.225,APPROVE,63,2026-04-14T11:25:07.138452
174,5730,5455,0.0,-0.6544,True,0.175,APPROVE,63,2026-04-14T11:25:07.346937
175,5728,5462,1.0,-0.6488,True,0.775,BLOCK,63,2026-04-14T11:25:07.558066
176,5724,5475,1.0,-0.6025,True,0.75,BLOCK,63,2026-04-14T11:25:07.770939
177,5722,5482,1.0,-0.6048,True,0.805,BLOCK,63,2026-04-14T11:25:07.987020
178,5722,5483,1.0,-0.5933,True,0.805,BLOCK,63,2026-04-14T11:25:08.197837
179,5719,5488,0.0,-0.6139,True,0.18,APPROVE,63,2026-04-14T11:25:08.417792
180,5719,5492,1.0,-0.6327,True,0.775,BLOCK,63,2026-04-14T11:25:08.631259
181,5718,5493,1.0,-0.5893,True,0.805,BLOCK,63,2026-04-14T11:25:08.866528
182,5714,5505,1.0,-0.639,True,0.8125,BLOCK,63,2026-04-14T11:25:09.093170
183,5713,5511,0.0,-0.6438,True,0.205,APPROVE,63,2026-04-14T11:25:09.311231
184,5712,5515,1.0,-0.5945,True,0.775,BLOCK,63,2026-04-14T11:25:09.527073
185,5711,5520,1.0,-0.582,True,0.75,BLOCK,63,2026-04-14T11:25:09.779559
186,5710,5522,1.0,-0.6517,True,0.82,BLOCK,63,2026-04-14T11:25:09.991729
187,5710,5523,1.0,-0.6516,True,0.775,BLOCK,63,2026-04-14T11:25:10.212186
188,5707,5531,1.0,-0.6268,True,0.775,BLOCK,63,2026-04-14T11:25:10.431706
189,5705,5536,0.0,-0.6225,True,0.175,APPROVE,63,2026-04-14T11:25:10.649958
190,5704,5537,0.0,-0.6468,True,0.2125,APPROVE,63,2026-04-14T11:25:10.865102
191,5704,5539,1.0,-0.6401,True,0.8125,BLOCK,63,2026-04-14T11:25:11.100084
192,5704,5540,0.0,-0.6507,True,0.2125,APPROVE,63,2026-04-14T11:25:11.353777
193,5703,5541,1.0,-0.6565,True,0.775,BLOCK,63,2026-04-14T11:25:11.577276
194,5703,5543,1.0,-0.6448,True,0.795,BLOCK,63,2026-04-14T11:25:11.831388
195,5703,5544,1.0,-0.6185,True,0.8,BLOCK,63,2026-04-14T11:25:12.072035
196,5699,5549,0.0,-0.6131,True,0.175,APPROVE,63,2026-04-14T11:25:12.322473
197,5691,5572,1.0,-0.5909,True,0.8325,BLOCK,63,2026-04-14T11:25:12.560504
198,5690,5577,1.0,-0.5957,True,0.75,BLOCK,63,2026-04-14T11:25:12.816322
199,5689,5583,0.0,-0.6334,True,0.175,APPROVE,63,2026-04-14T11:25:13.027657
200,5687,5588,1.0,-0.609,True,0.775,BLOCK,63,2026-04-14T11:25:13.258552
201,5684,5594,1.0,-0.6321,True,0.775,BLOCK,63,2026-04-14T11:25:13.581729
202,5684,5595,1.0,-0.6276,True,0.75,BLOCK,63,2026-04-14T11:25:13.818115
203,5682,5598,1.0,-0.6012,True,0.775,BLOCK,63,2026-04-14T11:25:14.036396
204,5680,5603,1.0,-0.6292,True,0.795,BLOCK,63,2026-04-14T11:25:14.263833
205,5676,5613,0.0,-0.6216,True,0.175,APPROVE,63,2026-04-14T11:25:14.489162
206,5675,5614,1.0,-0.6139,True,0.8125,BLOCK,63,2026-04-14T11:25:14.701845
207,5675,5616,0.0,-0.5969,True,0.2125,APPROVE,63,2026-04-14T11:25:14.964985
208,5674,5617,1.0,-0.5966,True,0.78,BLOCK,63,2026-04-14T11:25:15.217437
209,5673,5619,1.0,-0.6423,True,0.795,BLOCK,63,2026-04-14T11:25:15.432742
210,5669,5630,1.0,-0.6564,True,0.8425,BLOCK,63,2026-04-14T11:25:15.654800
211,5668,5634,0.0,-0.6488,True,0.2125,APPROVE,63,2026-04-14T11:25:15.898130
212,5668,5635,1.0,-0.6502,True,0.8125,BLOCK,63,2026-04-14T11:25:16.105830
213,5667,5637,1.0,-0.6552,True,0.775,BLOCK,63,2026-04-14T11:25:16.312638
214,5665,5641,1.0,-0.65,True,0.775,BLOCK,63,2026-04-14T11:25:16.547891
215,5664,5645,1.0,-0.6524,True,0.775,BLOCK,63,2026-04-14T11:25:16.808490
216,5663,5648,1.0,-0.6205,True,0.775,BLOCK,63,2026-04-14T11:25:17.062815
217,5658,5663,1.0,-0.6195,True,0.775,BLOCK,63,2026-04-14T11:25:17.312127
218,5654,5676,1.0,-0.6189,True,0.805,BLOCK,63,2026-04-14T11:25:17.575751
219,5653,5680,1.0,-0.6428,True,0.75,BLOCK,63,2026-04-14T11:25:17.805389
220,5649,5690,1.0,-0.5881,True,0.75,BLOCK,63,2026-04-14T11:25:18.054124
221,5648,5694,1.0,-0.629,True,0.795,BLOCK,63,2026-04-14T11:25:18.288691
222,5648,5695,1.0,-0.6581,True,0.775,BLOCK,63,2026-04-14T11:25:18.508426
223,5646,5702,1.0,-0.5749,True,0.75,BLOCK,63,2026-04-14T11:25:18.752659
224,5645,5703,1.0,-0.6361,True,0.775,BLOCK,63,2026-04-14T11:25:18.979100
225,5644,5706,1.0,-0.6254,True,0.775,BLOCK,63,2026-04-14T11:25:19.193886
226,5644,5708,1.0,-0.6487,True,0.775,BLOCK,63,2026-04-14T11:25:19.416094
227,5643,5710,1.0,-0.6147,True,0.82,BLOCK,63,2026-04-14T11:25:19.648388
228,5642,5712,1.0,-0.587,True,0.75,BLOCK,63,2026-04-14T11:25:19.878310
229,5640,5719,0.0,-0.6075,True,0.225,APPROVE,63,2026-04-14T11:25:20.105921
230,5640,5720,1.0,-0.6017,True,0.82,BLOCK,63,2026-04-14T11:25:20.346315
231,5639,5723,1.0,-0.616,True,0.7875,BLOCK,63,2026-04-14T11:25:20.554539
232,5639,5725,1.0,-0.6072,True,0.7875,BLOCK,63,2026-04-14T11:25:20.894054
233,5638,5727,0.0,-0.613,True,0.175,APPROVE,63,2026-04-14T11:25:21.126835
234,5635,5731,1.0,-0.6291,True,0.845,BLOCK,63,2026-04-14T11:25:21.341495
235,5630,5743,1.0,-0.6097,True,0.775,BLOCK,63,2026-04-14T11:25:21.564552
236,5629,5748,1.0,-0.6129,True,0.775,BLOCK,63,2026-04-14T11:25:21.783904
237,5627,5753,1.0,-0.6369,True,0.8125,BLOCK,63,2026-04-14T11:25:22.006510
238,5626,5756,1.0,-0.6357,True,0.775,BLOCK,63,2026-04-14T11:25:22.227474
239,5624,5767,0.0,-0.5654,True,0.175,APPROVE,63,2026-04-14T11:25:22.452001
240,5622,5774,0.0,-0.588,True,0.15,APPROVE,63,2026-04-14T11:25:22.696207
241,5621,5775,1.0,-0.6544,True,0.805,BLOCK,63,2026-04-14T11:25:22.931399
242,5620,5776,1.0,-0.6178,True,0.775,BLOCK,63,2026-04-14T11:25:23.142875
243,5614,5798,0.0,-0.6382,True,0.175,APPROVE,63,2026-04-14T11:25:23.354752
244,5613,5803,1.0,-0.5632,True,0.8125,BLOCK,63,2026-04-14T11:25:23.581845
245,5611,5808,1.0,-0.6355,True,0.775,BLOCK,63,2026-04-14T11:25:23.810732
246,5611,5809,0.0,-0.6001,True,0.175,APPROVE,63,2026-04-14T11:25:24.025317
247,5610,5815,1.0,-0.6346,True,0.75,BLOCK,63,2026-04-14T11:25:24.244615
248,5608,5818,0.0,-0.6651,True,0.175,APPROVE,63,2026-04-14T11:25:24.467703
249,5607,5821,1.0,-0.6139,True,0.775,BLOCK,63,2026-04-14T11:25:24.684314
250,5604,5831,1.0,-0.6254,True,0.775,BLOCK,63,2026-04-14T11:25:24.885154
251,5604,5832,1.0,-0.6358,True,0.775,BLOCK,63,2026-04-14T11:25:25.091895
252,5604,5833,1.0,-0.6188,True,0.775,BLOCK,63,2026-04-14T11:25:25.296132
253,5602,5838,1.0,-0.6123,True,0.775,BLOCK,63,2026-04-14T11:25:25.532303
254,5602,5839,1.0,-0.6406,True,0.775,BLOCK,63,2026-04-14T11:25:25.733133
255,5601,5845,1.0,-0.6187,True,0.8425,BLOCK,63,2026-04-14T11:25:25.936363
256,5600,5848,0.0,-0.609,True,0.205,APPROVE,63,2026-04-14T11:25:26.137289
257,5599,5852,1.0,-0.6634,True,0.805,BLOCK,63,2026-04-14T11:25:26.340023
258,5598,5856,1.0,-0.6308,True,0.775,BLOCK,63,2026-04-14T11:25:26.537260
259,5597,5860,1.0,-0.6202,True,0.775,BLOCK,63,2026-04-14T11:25:26.743287
260,5597,5863,1.0,-0.5757,True,0.75,BLOCK,63,2026-04-14T11:25:26.959900
261,5596,5864,1.0,-0.6229,True,0.775,BLOCK,63,2026-04-14T11:25:27.159219
262,5596,5866,1.0,-0.5952,True,0.805,BLOCK,63,2026-04-14T11:25:27.358544
263,5596,5868,0.0,-0.6229,True,0.175,APPROVE,63,2026-04-14T11:25:27.556851
264,5595,5870,1.0,-0.6587,True,0.775,BLOCK,63,2026-04-14T11:25:27.753156
265,5594,5871,1.0,-0.6527,True,0.8625,BLOCK,63,2026-04-14T11:25:27.952908
266,5593,5872,1.0,-0.609,True,0.775,BLOCK,63,2026-04-14T11:25:28.151978
267,5591,5874,0.0,-0.6181,True,0.2125,APPROVE,63,2026-04-14T11:25:28.348338
268,5591,5875,1.0,-0.6088,True,0.8325,BLOCK,63,2026-04-14T11:25:28.546949
269,5590,5876,1.0,-0.6437,True,0.78,BLOCK,63,2026-04-14T11:25:28.745758
270,5587,5881,0.0,-0.6214,True,0.175,APPROVE,63,2026-04-14T11:25:28.945509
271,5586,5884,0.0,-0.6256,True,0.22,APPROVE,63,2026-04-14T11:25:29.148500
272,5586,5885,1.0,-0.6277,True,0.75,BLOCK,63,2026-04-14T11:25:29.348677
273,5585,5892,0.0,-0.6592,True,0.225,APPROVE,63,2026-04-14T11:25:29.554180
274,5583,5897,0.0,-0.6147,True,0.175,APPROVE,63,2026-04-14T11:25:29.754584
275,5581,5901,1.0,-0.6212,True,0.775,BLOCK,63,2026-04-14T11:25:29.959358
276,5581,5904,1.0,-0.64,True,0.775,BLOCK,63,2026-04-14T11:25:30.163133
277,5578,5911,1.0,-0.6692,True,0.775,BLOCK,63,2026-04-14T11:25:30.363385
278,5575,5922,1.0,-0.6557,True,0.82,BLOCK,63,2026-04-14T11:25:30.563330
279,5573,5931,1.0,-0.6296,True,0.75,BLOCK,63,2026-04-14T11:25:30.773285
280,5572,5937,1.0,-0.6353,True,0.87,BLOCK,63,2026-04-14T11:25:30.989094
281,5572,5938,0.0,-0.6279,True,0.15,APPROVE,63,2026-04-14T11:25:31.195159
282,5571,5939,1.0,-0.655,True,0.775,BLOCK,63,2026-04-14T11:25:31.406711
283,5569,5947,1.0,-0.6122,True,0.775,BLOCK,63,2026-04-14T11:25:31.629439
284,5568,5948,1.0,-0.6042,True,0.75,BLOCK,63,2026-04-14T11:25:31.832875
285,5568,5949,1.0,-0.6157,True,0.775,BLOCK,63,2026-04-14T11:25:32.044897
286,5568,5952,0.0,-0.6273,True,0.175,APPROVE,63,2026-04-14T11:25:32.245456
287,5567,5956,1.0,-0.6257,True,0.8125,BLOCK,63,2026-04-14T11:25:32.448516
288,5563,5967,1.0,-0.5844,True,0.8125,BLOCK,63,2026-04-14T11:25:32.646730
289,5553,5988,1.0,-0.601,True,0.7875,BLOCK,63,2026-04-14T11:25:32.851241
